uf_mun_x,total,AFR,ASI,EST,FRC,GER,GRE,IBR,ITA,JEW,MUS,NOR,RUS
SC_RODEIO,12875,0.699,2.7573,0.5748,6.1903,6.7417,0.2252,80.5903,1.2117,0.0388,0.4971,0.2485,0.2252
SC_ROMELANDIA,7694,0.3899,3.0673,0.195,5.4068,6.6675,0.2469,82.4409,0.9358,0.026,0.3639,0.117,0.143
SC_SALETE,8711,0.6888,2.4452,0.31,4.4197,6.8993,0.023,83.1937,1.3661,0.0344,0.2985,0.1378,0.1837
SC_SALTINHO,3567,0.841,2.6913,0.0841,6.1396,4.2613,0.2803,84.665,0.6728,0.028,0.1962,0.0841,0.0561
SC_SALTO VELOSO,5317,0.8275,1.9748,0.2257,6.8648,3.3854,0.2633,84.7847,0.9216,0.0,0.3762,0.1317,0.2445
SC_SANGAO,10717,0.3732,1.5676,0.1586,3.0699,1.8009,0.084,91.994,0.4199,0.0187,0.4852,0.0187,0.0093
SC_SANTA CECILIA,19420,0.3399,1.2667,0.1699,3.8826,3.3728,0.0978,89.9176,0.4016,0.0566,0.3656,0.0824,0.0463
SC_SANTA HELENA,2386,0.5448,2.2632,0.5868,7.5859,5.4484,0.0838,81.9363,0.922,0.0419,0.3772,0.0419,0.1676
SC_SANTA ROSA DE LIMA,2560,0.9375,2.6562,0.0781,5.4688,15.5859,0.1172,73.8672,0.7031,0.1953,0.1172,0.0781,0.1953
SC_SANTA ROSA DO SUL,8734,0.2061,0.79,0.3893,2.5418,1.5228,0.0229,93.4967,0.1832,0.0229,0.1946,0.6297,0.0
SC_SANTA TEREZINHA,7514,0.7187,3.1674,0.9715,4.9108,5.5763,0.2662,81.8206,1.3308,0.1331,0.5456,0.1863,0.3726
SC_SANTA TEREZINHA DO PROGRESSO,2451,0.5304,2.1624,0.4488,6.6503,6.4055,0.1632,82.2113,0.612,0.1224,0.408,0.204,0.0816
SC_SANTIAGO DO SUL,1294,0.3864,1.0819,0.3864,5.1005,2.9366,0.0,88.949,0.7728,0.0,0.0773,0.1546,0.1546
SC_SANTO AMARO DA IMPERATRIZ,23510,0.5317,1.761,0.1319,3.7686,6.7205,0.0595,85.4573,0.7997,0.0766,0.4636,0.1574,0.0723
SC_SAO BENTO DO SUL,89009,0.7539,2.4863,0.5314,5.5545,8.6935,0.2112,80.2447,0.8258,0.0427,0.2988,0.1887,0.1685
SC_SAO BERNARDINO,2784,0.431,1.8678,0.1078,6.6092,6.6092,0.3233,83.0101,0.6825,0.0359,0.1796,0.1078,0.0359
SC_SAO BONIFACIO,3605,1.0264,2.7462,0.2774,3.5229,20.7767,0.0277,69.1817,0.8322,0.0832,0.8044,0.5548,0.1664
