uf_mun_x,total,AFR,ASI,EST,FRC,GER,GRE,IBR,ITA,JEW,MUS,NOR,RUS
SC_COCAL DO SUL,17369,0.7312,3.155,0.2764,8.2273,4.0993,0.0403,82.6472,0.3397,0.0,0.2821,0.2015,0.0
SC_CONCORDIA,56758,0.6184,2.9952,0.3999,8.7565,16.2814,0.1868,69.4827,0.4246,0.0053,0.4176,0.2837,0.148
SC_CORDILHEIRA ALTA,3447,0.3481,4.0615,0.6382,6.7885,7.1076,0.6382,79.1993,0.4932,0.029,0.3481,0.2031,0.1451
SC_CORONEL FREITAS,13362,0.5763,3.0834,0.5164,10.7244,4.0787,0.3892,79.2022,0.6361,0.2994,0.2545,0.1871,0.0524
SC_CORONEL MARTINS,2316,0.2159,2.9361,0.2159,6.304,3.9724,0.0,85.4491,0.0864,0.0,0.475,0.2591,0.0864
SC_CORREIA PINTO,16010,0.1374,0.762,0.0687,1.8301,5.4903,0.0062,91.2867,0.0874,0.0,0.2249,0.0999,0.0062
SC_CORUPA,16928,0.8388,3.9284,1.2642,5.4525,38.2207,0.2599,47.8025,0.1536,0.2009,0.2068,1.6009,0.0709
SC_CRICIUMA,234584,0.5277,1.6958,0.1982,4.5898,3.5655,0.0593,88.6378,0.3363,0.0222,0.272,0.0806,0.0149
SC_CUNHA PORA,13958,0.8669,2.5792,0.129,6.0324,46.0381,0.2149,43.0792,0.2866,0.0287,0.1719,0.4943,0.0788
SC_CUNHATAI,1603,0.811,1.4972,0.0,2.6201,53.0256,0.5614,38.0536,0.4367,0.0,1.1229,1.8715,0.0
SC_CURITIBANOS,52751,0.3317,1.7706,0.127,2.9023,5.8179,0.127,88.3358,0.2142,0.036,0.2009,0.0872,0.0493
SC_DESCANSO,11790,0.5768,4.2748,0.9584,10.0339,11.2044,0.212,71.4589,0.3393,0.0,0.5852,0.2969,0.0594
